2455387.91174 R 20.2735 0.1342 True
2455387.96016 R 20.3333 0.1727 True
2455392.96796 R 20.2312 0.1251 True
2455397.97273 R 19.7967 0.1372 True
2455398.79248 R 19.9593 0.1926 True
2455398.83602 R 19.7962 0.1236 True
No data from iPTF
 
