2455436.00858 R 19.0374 0.1348 False
2455443.91174 R 18.6629 0.0479 False
2455446.9464 R 19.0639 0.0629 False
2455446.98971 R 18.7484 0.0472 False
2455449.94803 R 18.889 0.0501 False
2455449.99147 R 18.8086 0.0449 False
2455452.95644 R 19.114 0.0681 False
2455453.00615 R 18.9343 0.071 False
2455455.99736 R 19.4478 0.0994 False
2455456.74516 R 18.8871 0.0874 False
2455456.81912 R 18.8594 0.0697 False
2455459.86693 R 18.6892 0.0771 False
2455459.91186 R 19.0903 0.0897 False
2455462.86561 R 18.9909 0.1234 False
2455462.90983 R 19.3468 0.1744 False
2455468.9956 R 19.171 0.1208 False
2455472.81817 R 19.4557 0.1028 False
2455472.86123 R 19.2482 0.0575 False
2455472.86123 R 20.1321 0.0962 False
2455477.9944 R 19.4289 0.1115 False
2455480.97723 R 19.7683 0.1207 False
2455481.02093 R 19.1858 0.0708 False
2455483.88851 R 20.2353 0.1953 False
2455483.93812 R 19.6846 0.1083 False
2455495.89699 R 19.2537 0.2047 True
2455498.72715 R 19.3899 0.1343 True
2455501.62101 R 18.9803 0.1256 True
2455501.70851 R 18.2675 0.0717 True
2455501.79517 R 19.6993 0.1368 True
2455501.88118 R 19.7504 0.1339 True
2455501.96631 R 18.8493 0.1357 True
2455502.69632 R 19.5509 0.0909 True
2455502.80052 R 20.0249 0.1634 True
2455502.8817 R 19.5797 0.0913 True
2455503.75903 R 19.7553 0.1217 True
2455503.84001 R 19.4057 0.1058 True
2455503.92777 R 19.8175 0.1635 True
2455504.67762 R 19.4066 0.1118 True
2455504.75837 R 18.9719 0.1088 True
2455504.85287 R 19.5238 0.1077 True
2455504.934 R 19.2984 0.0875 True
2455505.69588 R 19.2503 0.1181 True
2455505.77723 R 19.0594 0.1042 True
2455505.89 R 19.5252 0.1029 True
2455505.97058 R 19.2859 0.1003 True
2455506.67689 R 19.7841 0.1768 True
2455506.75741 R 19.8283 0.108 True
2455506.84728 R 19.9004 0.0958 True
2455506.9313 R 19.2574 0.1127 True
2455507.75248 R 19.5344 0.1274 True
2455507.91731 R 19.1733 0.1459 True
2455508.71189 R 20.0889 0.1352 True
2455579.70837 R 19.1498 0.1963 True
2455579.76858 R 19.2153 0.1674 True
2456542.81846 R 18.6708 0.0382
2456542.85483 R 18.7439 0.0406
2456543.76924 R 18.7376 0.0525
2456543.80516 R 18.5806 0.0302
2456543.80516 R 18.6221 0.038
2456543.84174 R 18.5126 0.033
2456545.78066 R 18.6435 0.0475
2456545.90394 R 18.7168 0.0321
2456546.75992 R 18.6548 0.0441
2456546.88963 R 18.5626 0.0303
2456547.828 R 18.7293 0.0368
2456547.91343 R 18.7075 0.032
2456547.94992 R 18.7614 0.034
2456548.85168 R 18.8074 0.0342
2456548.90904 R 18.7442 0.0324
2456548.94542 R 18.7906 0.0359
2456549.84708 R 18.8193 0.0385
2456549.92375 R 18.7929 0.0312
2456549.96235 R 18.743 0.0333
2456550.86109 R 18.8146 0.0482
2456550.9253 R 18.8709 0.0319
2456550.9253 R 18.972 0.0344
2456550.95942 R 18.8182 0.034
2456551.86056 R 18.6238 0.0528
2456551.89961 R 18.8979 0.0387
2456551.89961 R 18.9976 0.0585
2456551.93301 R 18.9683 0.0472
2456552.83431 R 18.9881 0.0732
2456552.86758 R 18.7497 0.0773
2456552.90895 R 18.8447 0.0596
2456561.7181 R 19.032 0.0615
2456561.78507 R 19.0783 0.0507
2456561.78507 R 19.052 0.0799
2456561.82988 R 19.2402 0.082
2456562.90858 R 18.8765 0.0481
2456562.95226 R 19.0568 0.0575
2456562.95226 R 18.9635 0.0403
2456562.98502 R 18.9961 0.0562
2456563.88644 R 19.081 0.0534
2456563.92074 R 19.04 0.0408
2456563.92074 R 19.1563 0.0616
2456563.95395 R 19.0605 0.0491
2456564.85676 R 19.0684 0.0493
2456564.89132 R 19.0238 0.0445
2456564.89132 R 19.0803 0.0366
2456564.93242 R 19.2625 0.0511
2456565.83458 R 18.8433 0.0408
2456565.86771 R 19.0013 0.0378
2456565.86771 R 18.9458 0.0489
2456565.90341 R 19.1166 0.0527
2456566.8052 R 19.0753 0.0467
2456566.83933 R 18.9376 0.035
2456566.83933 R 18.8538 0.04
2456566.87597 R 19.0383 0.0429
2456567.77712 R 18.9729 0.0411
2456567.81006 R 19.0165 0.0362
2456567.81006 R 19.0906 0.0464
2456567.84479 R 18.7706 0.0407
2456568.74623 R 19.0024 0.0429
2456568.77897 R 18.89 0.0378
