2455060.78779 R 18.6917 0.0391 False
2455061.87188 R 18.6525 0.0581 True
2455066.69588 R 19.4796 0.1887 True
2455755.9535 R 19.6233 0.1496 False
2455806.80052 g 21.7395 0.1773 False
2456549.63887 R 19.2415 0.2165
2456571.61197 R 18.6329 0.107
2457628.97278 R 19.8624 0.1091
2457716.5888 R 18.8349 0.0869
2457716.62792 g 19.2272 0.0993
2457722.59551 R 18.4236 0.0451
2457722.63174 g 18.7027 0.0599
2457725.57773 R 18.1211 0.0562
2457725.60738 g 19.1636 0.072
2457728.57624 R 18.4269 0.0461
2457728.60706 g 19.5943 0.1005
