No data from PTF
2456605.77892 R 18.227 0.0309
2456605.77892 R 18.2448 0.0259
2456605.82285 R 18.2369 0.0295
2456606.74943 R 17.7439 0.1946
2456607.61663 R 18.3428 0.0585
2456607.73797 R 18.2819 0.0323
2456607.73797 R 18.289 0.0414
2456607.76294 R 18.226 0.0414
2456608.66443 R 18.3019 0.057
2456608.69535 R 18.3168 0.05
2456608.69535 R 18.2739 0.0361
2456608.72003 R 18.181 0.0574
2456609.64036 R 18.371 0.0663
2456609.66495 R 18.2191 0.0651
2456609.66495 R 18.6199 0.0535
